Predictor,b,Seed,Dataset,Result
REC,2,13323,crusoe,2583.9394142282113
REC,3,13323,crusoe,2281.5014624372907
REC,4,13323,crusoe,986.3879339791614
REC,5,13323,crusoe,4010.3628021718864
REC,6,13323,crusoe,3775.240218081328
REC,7,13323,crusoe,5404.865336658464
REC,8,13323,crusoe,5525.478497903268
REC,2,13323,dracula,19258.299443872358
REC,3,13323,dracula,2887.790913397196
REC,4,13323,dracula,1048.099679852859
REC,5,13323,dracula,1857.629833906711
REC,6,13323,dracula,3038.43077200035
REC,7,13323,dracula,4483.88640287319
REC,8,13323,dracula,6585.286153333617
REC,2,13323,iliad,19258.299443872358
REC,3,13323,iliad,7411.014989635007
REC,4,13323,iliad,3980.561299000283
REC,5,13323,iliad,6562.195302522894
REC,6,13323,iliad,8325.493146081282
REC,7,13323,iliad,7264.999568145218
REC,8,13323,iliad,7259.550425384067
REC,2,13323,mare-balena,30091.65538105056
REC,3,13323,mare-balena,16903.56291339853
REC,4,13323,mare-balena,9302.76106487569
REC,5,13323,mare-balena,10411.973213836556
REC,6,13323,mare-balena,8858.22352765603
REC,7,13323,mare-balena,6414.337625353281
REC,8,13323,mare-balena,6020.406694337591
REC,2,13323,midsummer-nights-dream,432.6808689942018
REC,3,13323,midsummer-nights-dream,789.7484739275379
REC,4,13323,midsummer-nights-dream,1922.5617906327773
REC,5,13323,midsummer-nights-dream,2101.07762838028
REC,6,13323,midsummer-nights-dream,1765.541575520798
REC,7,13323,midsummer-nights-dream,2560.0031959026983
REC,8,13323,midsummer-nights-dream,2664.80227957906
REC,2,13323,quijote,5047.709793414476
REC,3,13323,quijote,16903.56291339853
REC,4,13323,quijote,17057.77871975125
REC,5,13323,quijote,32510.82352147901
REC,6,13323,quijote,46543.41798607625
REC,7,13323,quijote,20295.499093265662
REC,8,13323,quijote,24312.558822863855
REC,2,13323,valley-fear,432.6808689942018
REC,3,13323,valley-fear,1802.4579456294643
REC,4,13323,valley-fear,1702.916326650488
REC,5,13323,valley-fear,1693.731958634697
REC,6,13323,valley-fear,2561.860967570425
REC,7,13323,valley-fear,3633.950070112417
REC,8,13323,valley-fear,4690.76064272402
REC,2,13323,war-peace,2066.951531382569
REC,3,13323,war-peace,5204.695027013887
REC,4,13323,war-peace,6465.732793091528
REC,5,13323,war-peace,7893.035901408253
REC,6,13323,war-peace,7585.855856706605
REC,7,13323,war-peace,10555.572118418486
REC,8,13323,war-peace,13706.37528407782
REC,2,60340,crusoe,2583.9394142282113
REC,3,60340,crusoe,2281.5014624372907
REC,4,60340,crusoe,986.3879339791614
REC,5,60340,crusoe,4010.3628021718864
REC,6,60340,crusoe,3775.240218081328
REC,7,60340,crusoe,5404.865336658464
REC,8,60340,crusoe,5525.478497903268
REC,2,60340,dracula,19258.299443872358
REC,3,60340,dracula,2887.790913397196
REC,4,60340,dracula,1048.099679852859
REC,5,60340,dracula,1857.629833906711
REC,6,60340,dracula,3038.43077200035
REC,7,60340,dracula,4483.88640287319
REC,8,60340,dracula,6585.286153333617
REC,2,60340,iliad,19258.299443872358
