Predictor,b,Seed,Dataset,Result
AdaptiveSampling,2,13323,crusoe,8192.0
PCSA,2,13323,crusoe,8905.0
LogLog,2,13323,crusoe,8597.442464145812
HLL,2,13323,crusoe,5583.107293955098
KMV,2,13323,crusoe,6631.095669143632
MinCount,2,13323,crusoe,17605.836530236906
REC,2,13323,crusoe,2066.951531382569
AdaptiveSampling,3,13323,crusoe,6144.0
PCSA,3,13323,crusoe,6297.0
LogLog,3,13323,crusoe,9778.83330803126
HLL,3,13323,crusoe,7288.86977432121
KMV,3,13323,crusoe,6471.891578791924
MinCount,3,13323,crusoe,18501.81885495239
REC,3,13323,crusoe,3248.8897775718456
AdaptiveSampling,4,13323,crusoe,7168.0
PCSA,4,13323,crusoe,6297.0
LogLog,4,13323,crusoe,7989.724378513435
HLL,4,13323,crusoe,7798.879864962004
KMV,4,13323,crusoe,7163.508187643646
MinCount,4,13323,crusoe,10902.872971635561
REC,4,13323,crusoe,6465.732793091528
AdaptiveSampling,5,13323,crusoe,7680.0
PCSA,5,13323,crusoe,7328.0
LogLog,5,13323,crusoe,7369.976386603597
HLL,5,13323,crusoe,6986.724615154538
KMV,5,13323,crusoe,7804.854362459973
MinCount,5,13323,crusoe,8311.454742943153
REC,5,13323,crusoe,6978.804379343195
AdaptiveSampling,6,13323,crusoe,7040.0
PCSA,6,13323,crusoe,6505.0
LogLog,6,13323,crusoe,6924.502831289396
HLL,6,13323,crusoe,5959.7011784753995
KMV,6,13323,crusoe,7385.234305817488
MinCount,6,13323,crusoe,6760.207749035672
REC,6,13323,crusoe,6011.583117275146
AdaptiveSampling,7,13323,crusoe,7104.0
PCSA,7,13323,crusoe,6435.0
LogLog,7,13323,crusoe,7519.769099121708
HLL,7,13323,crusoe,7328.962059735013
KMV,7,13323,crusoe,6807.493340370869
MinCount,7,13323,crusoe,5629.7130915190255
REC,7,13323,crusoe,4809.266225559074
AdaptiveSampling,8,13323,crusoe,6464.0
PCSA,8,13323,crusoe,6400.0
LogLog,8,13323,crusoe,7050.8959534097985
HLL,8,13323,crusoe,6523.5300145918845
KMV,8,13323,crusoe,6476.5924535090835
MinCount,8,13323,crusoe,5958.575011053418
REC,8,13323,crusoe,5973.638664023806
AdaptiveSampling,9,13323,crusoe,6528.0
PCSA,9,13323,crusoe,6340.0
LogLog,9,13323,crusoe,6772.273691204292
HLL,9,13323,crusoe,6421.772757538359
KMV,9,13323,crusoe,6517.89366907629
MinCount,9,13323,crusoe,6099.561978488197
REC,9,13323,crusoe,5787.863405055613
AdaptiveSampling,2,13323,dracula,32768.0
PCSA,2,13323,dracula,14977.0
LogLog,2,13323,dracula,12158.619734517368
HLL,2,13323,dracula,14692.38761567131
KMV,2,13323,dracula,35105.08963104638
MinCount,2,13323,dracula,10882.647166436089
REC,2,13323,dracula,24073.124304840447
AdaptiveSampling,3,13323,dracula,16384.0
PCSA,3,13323,dracula,10590.0
LogLog,3,13323,dracula,13829.358688403567
HLL,3,13323,dracula,12990.064944334828
KMV,3,13323,dracula,15472.556561335143
MinCount,3,13323,dracula,6687.5412087136
REC,3,13323,dracula,9379.831471256804
AdaptiveSampling,4,13323,dracula,14336.0
PCSA,4,13323,dracula,12594.0
LogLog,4,13323,dracula,13437.06117751432
HLL,4,13323,dracula,12409.646202708771
KMV,4,13323,dracula,14971.493974755673
MinCount,4,13323,dracula,9049.255495893145
REC,4,13323,dracula,11158.516140560125
AdaptiveSampling,5,13323,dracula,15360.0
PCSA,5,13323,dracula,12324.0
LogLog,5,13323,dracula,12666.183644723911
HLL,5,13323,dracula,12664.620471866481
KMV,5,13323,dracula,14901.46582384989
MinCount,5,13323,dracula,10751.066892824745
REC,5,13323,dracula,8139.7245233272615
AdaptiveSampling,6,13323,dracula,12544.0
PCSA,6,13323,dracula,10252.0
LogLog,6,13323,dracula,13261.853256898576
HLL,6,13323,dracula,11905.984643228154
KMV,6,13323,dracula,13277.572826779167
MinCount,6,13323,dracula,8703.136985495497
REC,6,13323,dracula,6200.944255490111
AdaptiveSampling,7,13323,dracula,12160.0
PCSA,7,13323,dracula,8620.0
LogLog,7,13323,dracula,11723.35311430326
HLL,7,13323,dracula,10130.273988494888
KMV,7,13323,dracula,11016.359621923713
MinCount,7,13323,dracula,8166.972244031075
REC,7,13323,dracula,8621.826783942088
AdaptiveSampling,8,13323,dracula,10304.0
PCSA,8,13323,dracula,8738.0
LogLog,8,13323,dracula,10844.565468388906
HLL,8,13323,dracula,9755.898600704531
KMV,8,13323,dracula,9507.260890600472
MinCount,8,13323,dracula,9165.43698070863
REC,8,13323,dracula,8584.692714295867
AdaptiveSampling,9,13323,dracula,9408.0
PCSA,9,13323,dracula,8905.0
LogLog,9,13323,dracula,10275.97071481764
HLL,9,13323,dracula,9659.379279121593
KMV,9,13323,dracula,9346.756899246062
MinCount,9,13323,dracula,9126.992212164805
REC,9,13323,dracula,8634.970494913066
AdaptiveSampling,2,13323,iliad,12288.0
PCSA,2,13323,iliad,8905.0
LogLog,2,13323,iliad,10224.139749188726
HLL,2,13323,iliad,13957.768234887746
KMV,2,13323,iliad,7085.249584697284
MinCount,2,13323,iliad,13517.805543548962
REC,2,13323,iliad,6309.887241768094
AdaptiveSampling,3,13323,iliad,12288.0
PCSA,3,13323,iliad,8905.0
LogLog,3,13323,iliad,12681.57783219372
HLL,3,13323,iliad,7540.210111366769
KMV,3,13323,iliad,11181.021265486288
MinCount,3,13323,iliad,6366.299093189861
REC,3,13323,iliad,15025.278145243139
AdaptiveSampling,4,13323,iliad,11264.0
PCSA,4,13323,iliad,9711.0
LogLog,4,13323,iliad,10361.390604815679
HLL,4,13323,iliad,8850.139533279766
KMV,4,13323,iliad,10577.57868555283
MinCount,4,13323,iliad,9908.911065058015
REC,4,13323,iliad,11158.516140560125
AdaptiveSampling,5,13323,iliad,8704.0
PCSA,5,13323,iliad,8714.0
LogLog,5,13323,iliad,11366.057366420968
HLL,5,13323,iliad,11614.475676036442
KMV,5,13323,iliad,9482.681994240764
MinCount,5,13323,iliad,9692.847431184773
REC,5,13323,iliad,6562.195302522894
AdaptiveSampling,6,13323,iliad,9216.0
PCSA,6,13323,iliad,9199.0
LogLog,6,13323,iliad,10226.286828880271
HLL,6,13323,iliad,10626.071357737117
KMV,6,13323,iliad,9586.24591121365
MinCount,6,13323,iliad,9105.596978770305
REC,6,13323,iliad,6496.226490646254
AdaptiveSampling,7,13323,iliad,9344.0
PCSA,7,13323,iliad,9503.0
LogLog,7,13323,iliad,9338.484000733079
HLL,7,13323,iliad,8791.801274826588
KMV,7,13323,iliad,9325.62491757428
MinCount,7,13323,iliad,8415.000513375018
REC,7,13323,iliad,8757.084748021258
AdaptiveSampling,8,13323,iliad,9408.0
PCSA,8,13323,iliad,8905.0
LogLog,8,13323,iliad,9731.420030291445
HLL,8,13323,iliad,9799.841856412062
KMV,8,13323,iliad,9112.382197648009
MinCount,8,13323,iliad,8769.094061395135
REC,8,13323,iliad,8418.950740383609
AdaptiveSampling,9,13323,iliad,9184.0
PCSA,9,13323,iliad,8845.0
LogLog,9,13323,iliad,9233.681076271674
HLL,9,13323,iliad,8851.676946158404
KMV,9,13323,iliad,9148.330686912566
MinCount,9,13323,iliad,8219.26500950289
REC,9,13323,iliad,8128.084194853208
AdaptiveSampling,2,13323,mare-balena,3072.0
PCSA,2,13323,mare-balena,2647.0
LogLog,2,13323,mare-balena,1807.3896371125688
HLL,2,13323,mare-balena,2326.294705814624
KMV,2,13323,mare-balena,2464.0396421770306
MinCount,2,13323,mare-balena,2952.663051488786
REC,2,13323,mare-balena,1057.7911840678755
AdaptiveSampling,3,13323,mare-balena,3072.0
PCSA,3,13323,mare-balena,4452.0
LogLog,3,13323,mare-balena,2665.973334713168
HLL,3,13323,mare-balena,3489.352551536749
KMV,3,13323,mare-balena,3098.2101526847514
MinCount,3,13323,mare-balena,3891.7623678146665
REC,3,13323,mare-balena,2027.8901888331475
AdaptiveSampling,4,13323,mare-balena,4096.0
PCSA,4,13323,mare-balena,6297.0
LogLog,4,13323,mare-balena,3663.3047795938746
HLL,4,13323,mare-balena,4411.2414236191335
KMV,4,13323,mare-balena,4375.950978651445
MinCount,4,13323,mare-balena,4716.592629935703
REC,4,13323,mare-balena,5727.316937825021
AdaptiveSampling,5,13323,mare-balena,4096.0
PCSA,5,13323,mare-balena,6297.0
LogLog,5,13323,mare-balena,4018.508119575789
HLL,5,13323,mare-balena,5006.753855209202
KMV,5,13323,mare-balena,5126.695401433376
MinCount,5,13323,mare-balena,6607.955502802019
REC,5,13323,mare-balena,4535.780725206839
AdaptiveSampling,6,13323,mare-balena,5632.0
PCSA,6,13323,mare-balena,6229.0
LogLog,6,13323,mare-balena,4843.619351703924
HLL,6,13323,mare-balena,5949.271701413068
KMV,6,13323,mare-balena,5500.757980439121
MinCount,6,13323,mare-balena,5714.18391785349
REC,6,13323,mare-balena,4838.424689762225
AdaptiveSampling,7,13323,mare-balena,5632.0
PCSA,7,13323,mare-balena,5743.0
LogLog,7,13323,mare-balena,5288.56334694332
HLL,7,13323,mare-balena,6230.66420174383
KMV,7,13323,mare-balena,5733.11710301815
MinCount,7,13323,mare-balena,5564.9428061559565
REC,7,13323,mare-balena,4518.9245778956365
AdaptiveSampling,8,13323,mare-balena,6176.0
PCSA,8,13323,mare-balena,5485.0
LogLog,8,13323,mare-balena,5378.416913807069
HLL,8,13323,mare-balena,5622.207791179719
KMV,8,13323,mare-balena,6173.242380174859
MinCount,8,13323,mare-balena,5649.995066028051
REC,8,13323,mare-balena,5211.560567911039
AdaptiveSampling,9,13323,mare-balena,5920.0
PCSA,9,13323,mare-balena,5544.0
LogLog,9,13323,mare-balena,5587.862530312787
HLL,9,13323,mare-balena,5829.927850179693
KMV,9,13323,mare-balena,5812.649839117053
MinCount,9,13323,mare-balena,5678.766888847616
REC,9,13323,mare-balena,5290.913195638902
AdaptiveSampling,2,13323,midsummer-nights-dream,8192.0
PCSA,2,13323,midsummer-nights-dream,2226.0
LogLog,2,13323,midsummer-nights-dream,6079.309867258684
HLL,2,13323,midsummer-nights-dream,8210.451902875144
KMV,2,13323,midsummer-nights-dream,7007.508390583055
MinCount,2,13323,midsummer-nights-dream,3215.211419040684
REC,2,13323,midsummer-nights-dream,6309.887241768094
AdaptiveSampling,3,13323,midsummer-nights-dream,3584.0
PCSA,3,13323,midsummer-nights-dream,3744.0
