Predictor,b,Seed,Dataset,Result
HLL,2,4683928,dracula,6204.780048565991
REC,2,4683928,dracula,30091.65538105056
HLL,3,4683928,dracula,8330.629681683004
REC,3,4683928,dracula,30461.571272987974
HLL,4,4683928,dracula,7350.954666666667
REC,4,4683928,dracula,9302.76106487569
HLL,5,4683928,dracula,8120.638577777777
REC,5,4683928,dracula,11419.013988819712
HLL,6,4683928,dracula,8695.209169590642
REC,6,4683928,dracula,11710.069205209662
HLL,7,4683928,dracula,9331.452226993446
REC,7,4683928,dracula,9995.88587992994
HLL,8,4683928,dracula,9779.358444980948
REC,8,4683928,dracula,8926.028494708298
HLL,9,4683928,dracula,9966.230373220114
REC,9,4683928,dracula,9354.235391413908
HLL,10,4683928,dracula,9534.942237673335
REC,10,4683928,dracula,9818.121324574784
HLL,11,4683928,dracula,9472.747609738995
REC,11,4683928,dracula,9530.234595595071
HLL,12,4683928,dracula,9309.228452590927
REC,12,4683928,dracula,9339.624867427996
HLL,13,4683928,dracula,9338.746884293809
REC,13,4683928,dracula,9448.592486481713
HLL,14,4683928,dracula,9458.79744084976
REC,14,4683928,dracula,10713.903163643017
HLL,15,4683928,dracula,9428.09951056076
REC,15,4683928,dracula,16071.696938099067
HLL,16,4683928,dracula,9431.20134607483
REC,16,4683928,dracula,27837.932418028387
HLL,2,9059263,dracula,16546.08012950931
REC,2,9059263,dracula,19258.299443872358
HLL,3,9059263,dracula,9658.701080212179
REC,3,9059263,dracula,9379.831471256804
HLL,4,9059263,dracula,8632.313737003058
REC,4,9059263,dracula,6869.903592659749
HLL,5,9059263,dracula,8655.602925240562
REC,5,9059263,dracula,7421.858368266347
HLL,6,9059263,dracula,9816.419347225086
REC,6,9059263,dracula,6105.52972848257
HLL,7,9059263,dracula,9996.561723466297
REC,7,9059263,dracula,8894.464373280136
HLL,8,9059263,dracula,10220.098914765878
REC,8,9059263,dracula,9208.842116342945
HLL,9,9059263,dracula,9496.272172738758
REC,9,9059263,dracula,9427.537571198409
HLL,10,9059263,dracula,9439.957759868372
REC,10,9059263,dracula,9414.52519524147
HLL,11,9059263,dracula,9323.105431265654
REC,11,9059263,dracula,9405.433607190718
HLL,12,9059263,dracula,9309.228452590927
REC,12,9059263,dracula,9447.40893998092
HLL,13,9059263,dracula,9338.746884293809
REC,13,9059263,dracula,9426.702438068607
HLL,14,9059263,dracula,9458.79744084976
REC,14,9059263,dracula,10713.903163643017
HLL,15,9059263,dracula,9428.09951056076
REC,15,9059263,dracula,16071.696938099067
HLL,16,9059263,dracula,9431.20134607483
REC,16,9059263,dracula,27837.932418028387
HLL,2,6659057,dracula,10589.491282885958
REC,2,6659057,dracula,5047.709793414476
HLL,3,6659057,dracula,11478.154997367326
REC,3,6659057,dracula,6587.45776856445
HLL,4,6659057,dracula,7466.401962638453
REC,4,6659057,dracula,4229.408880187801
HLL,5,6659057,dracula,7976.276285629023
REC,5,6659057,dracula,7893.035901408253
HLL,6,6659057,dracula,8820.84413667806
REC,6,6659057,dracula,7354.209843566924
HLL,7,6659057,dracula,10280.751685352154
REC,7,6659057,dracula,9104.584869390661
HLL,8,6659057,dracula,9875.015457317688
REC,8,6659057,dracula,8128.6365209128835
HLL,9,6659057,dracula,10134.686720623053
REC,9,6659057,dracula,8096.42274802731
HLL,10,6659057,dracula,9586.7205350366
REC,10,6659057,dracula,8489.049496039763
HLL,11,6659057,dracula,9594.510872002318
REC,11,6659057,dracula,9210.041357808223
HLL,12,6659057,dracula,9309.228452590927
REC,12,6659057,dracula,9353.315777274527
HLL,13,6659057,dracula,9338.746884293809
REC,13,6659057,dracula,9419.800331769888
HLL,14,6659057,dracula,9458.79744084976
REC,14,6659057,dracula,10713.903163643017
HLL,15,6659057,dracula,9428.09951056076
REC,15,6659057,dracula,16071.696938099067
HLL,16,6659057,dracula,9431.20134607483
REC,16,6659057,dracula,27837.932418028387
HLL,2,8599912,dracula,10450.155871269038
REC,2,8599912,dracula,2583.9394142282113
HLL,3,8599912,dracula,7726.960864169743
REC,3,8599912,dracula,9379.831471256804
HLL,4,8599912,dracula,8599.441255140899
REC,4,8599912,dracula,16054.321148001176
HLL,5,8599912,dracula,10043.99360274855
REC,5,8599912,dracula,9493.735405598582
HLL,6,8599912,dracula,12640.017155077372
REC,6,8599912,dracula,8587.728892137065
HLL,7,8599912,dracula,11738.874193205482
REC,7,8599912,dracula,9918.390640550637
HLL,8,8599912,dracula,10130.257865818723
REC,8,8599912,dracula,10596.559751051376
HLL,9,8599912,dracula,9344.78748483472
REC,9,8599912,dracula,9821.902262568707
HLL,10,8599912,dracula,9111.031230738394
REC,10,8599912,dracula,9856.533489299814
HLL,11,8599912,dracula,9231.081082291797
REC,11,8599912,dracula,9428.420970628078
HLL,12,8599912,dracula,9309.228452590927
REC,12,8599912,dracula,9551.771754251933
HLL,13,8599912,dracula,9338.746884293809
REC,13,8599912,dracula,9418.650472093119
HLL,14,8599912,dracula,9458.79744084976
REC,14,8599912,dracula,10713.903163643017
HLL,15,8599912,dracula,9428.09951056076
REC,15,8599912,dracula,16071.696938099067
HLL,16,8599912,dracula,9431.20134607483
REC,16,8599912,dracula,27837.932418028387
HLL,2,6323675,dracula,14098.435139936926
REC,2,6323675,dracula,7887.609052210118
HLL,3,6323675,dracula,7359.010346828327
REC,3,6323675,dracula,15025.278145243139
HLL,4,6323675,dracula,8945.190230144584
REC,4,6323675,dracula,15109.890492236402
HLL,5,6323675,dracula,10872.189716543668
REC,5,6323675,dracula,8656.469732327527
HLL,6,6323675,dracula,8589.159265916758
REC,6,6323675,dracula,11710.069205209662
HLL,7,6323675,dracula,8899.140452195263
REC,7,6323675,dracula,11146.592983441316
HLL,8,6323675,dracula,9079.859863947115
REC,8,6323675,dracula,10637.956468828921
HLL,9,6323675,dracula,9334.648879276461
REC,9,6323675,dracula,10252.749747148631
HLL,10,6323675,dracula,9491.69290732241
REC,10,6323675,dracula,9741.745457571784
HLL,11,6323675,dracula,9226.88727765036
REC,11,6323675,dracula,9576.876219335947
HLL,12,6323675,dracula,9309.228452590927
REC,12,6323675,dracula,9498.28753422255
HLL,13,6323675,dracula,9338.746884293809
REC,13,6323675,dracula,9424.401174285618
HLL,14,6323675,dracula,9458.79744084976
REC,14,6323675,dracula,10713.903163643017
HLL,15,6323675,dracula,9428.09951056076
REC,15,6323675,dracula,16071.696938099067
HLL,16,6323675,dracula,9431.20134607483
REC,16,6323675,dracula,27837.932418028387
HLL,2,1163603,dracula,12409.560097131982
REC,2,1163603,dracula,12324.95164407831
HLL,3,1163603,dracula,7244.025810159134
REC,3,1163603,dracula,27076.841131544865
HLL,4,1163603,dracula,8932.805670886077
REC,4,1163603,dracula,10502.074014644822
HLL,5,1163603,dracula,8235.013769014084
REC,5,1163603,dracula,7653.82269227467
HLL,6,1163603,dracula,9066.346146341462
REC,6,1163603,dracula,7704.400479467646
HLL,7,1163603,dracula,9836.268495011125
REC,7,1163603,dracula,10392.538704895647
HLL,8,1163603,dracula,9350.622264851812
REC,8,1163603,dracula,9500.615443284853
HLL,9,1163603,dracula,9997.170189145669
REC,9,1163603,dracula,8839.564549707937
HLL,10,1163603,dracula,9491.427724498571
REC,10,1163603,dracula,9789.410461718177
HLL,11,1163603,dracula,9365.38861921321
REC,11,1163603,dracula,9548.863927143917
HLL,12,1163603,dracula,9309.228452590927
REC,12,1163603,dracula,9509.889007599939
HLL,13,1163603,dracula,9338.746884293809
REC,13,1163603,dracula,9423.250753051116
HLL,14,1163603,dracula,9458.79744084976
REC,14,1163603,dracula,10713.903163643017
HLL,15,1163603,dracula,9428.09951056076
REC,15,1163603,dracula,16071.696938099067
HLL,16,1163603,dracula,9431.20134607483
REC,16,1163603,dracula,27837.932418028387
HLL,2,3220161,dracula,25898.21237662327
REC,2,3220161,dracula,2583.9394142282113
HLL,3,3220161,dracula,12399.076735528193
