Predictor,b,Seed,Dataset,Result
AdaptiveSampling,5,13323,synthetic_1000000_100000_1.0,73728.0
PCSA,5,13323,synthetic_1000000_100000_1.0,81133.0
LogLog,5,13323,synthetic_1000000_100000_1.0,78135.70213399289
HLL,5,13323,synthetic_1000000_100000_1.0,78958.83210645533
KMV,5,13323,synthetic_1000000_100000_1.0,75122.6821368643
MinCount,5,13323,synthetic_1000000_100000_1.0,79934.43229941194
REC,5,13323,synthetic_1000000_100000_1.0,42885.1423599236
AdaptiveSampling,6,13323,synthetic_1000000_100000_1.0,73728.0
PCSA,6,13323,synthetic_1000000_100000_1.0,89440.0
LogLog,6,13323,synthetic_1000000_100000_1.0,80057.26871710122
HLL,6,13323,synthetic_1000000_100000_1.0,88116.961094755
KMV,6,13323,synthetic_1000000_100000_1.0,79969.70643060816
MinCount,6,13323,synthetic_1000000_100000_1.0,80419.17486626423
REC,6,13323,synthetic_1000000_100000_1.0,47270.67451710869
AdaptiveSampling,7,13323,synthetic_1000000_100000_1.0,80896.0
PCSA,7,13323,synthetic_1000000_100000_1.0,86580.0
LogLog,7,13323,synthetic_1000000_100000_1.0,81911.88350784556
HLL,7,13323,synthetic_1000000_100000_1.0,85103.50625117752
KMV,7,13323,synthetic_1000000_100000_1.0,89457.1629485295
MinCount,7,13323,synthetic_1000000_100000_1.0,76926.6352937659
REC,7,13323,synthetic_1000000_100000_1.0,71603.30259915831
AdaptiveSampling,8,13323,synthetic_1000000_100000_1.0,96256.0
PCSA,8,13323,synthetic_1000000_100000_1.0,87050.0
LogLog,8,13323,synthetic_1000000_100000_1.0,84897.51034277117
HLL,8,13323,synthetic_1000000_100000_1.0,85887.10665221236
KMV,8,13323,synthetic_1000000_100000_1.0,90989.588985376
MinCount,8,13323,synthetic_1000000_100000_1.0,79184.77509899392
REC,8,13323,synthetic_1000000_100000_1.0,76197.04550117571
AdaptiveSampling,9,13323,synthetic_1000000_100000_1.0,88064.0
PCSA,9,13323,synthetic_1000000_100000_1.0,87523.0
LogLog,9,13323,synthetic_1000000_100000_1.0,84807.7764542334
HLL,9,13323,synthetic_1000000_100000_1.0,84972.0601680456
KMV,9,13323,synthetic_1000000_100000_1.0,90380.49207732355
MinCount,9,13323,synthetic_1000000_100000_1.0,80999.62323153071
REC,9,13323,synthetic_1000000_100000_1.0,86853.08367182878
AdaptiveSampling,5,13323,synthetic_1000000_10000_0.0,9728.0
PCSA,5,13323,synthetic_1000000_10000_0.0,10363.0
LogLog,5,13323,synthetic_1000000_10000_0.0,7864.799554178891
HLL,5,13323,synthetic_1000000_10000_0.0,9432.078230458626
KMV,5,13323,synthetic_1000000_10000_0.0,11509.631933267226
MinCount,5,13323,synthetic_1000000_10000_0.0,8682.040964260654
REC,5,13323,synthetic_1000000_10000_0.0,6767.295155726734
AdaptiveSampling,6,13323,synthetic_1000000_10000_0.0,11008.0
PCSA,6,13323,synthetic_1000000_10000_0.0,9711.0
LogLog,6,13323,synthetic_1000000_10000_0.0,8599.247935761694
HLL,6,13323,synthetic_1000000_10000_0.0,9673.612522622874
KMV,6,13323,synthetic_1000000_10000_0.0,11668.601838192344
MinCount,6,13323,synthetic_1000000_10000_0.0,9245.653983262466
